npv,investition,t_unsupported,t_supported,matLevel,SaB,SgB,t_supported_x,t_unsupported_x,name
-991.78,0.0,50,50.0,1,0,0,[50],[50],Ist-Situation
88.31,1000.0,50,43.0,1,1,0,[43.0],[50],"RG 1, KäP"
1288.76,1000.0,50,40.0,1,0,1,[40],[50],"RG 1, IiP"
6370.33,2000.0,50,23.0,1,1,1,[23.0],[50],"RG 1, IiP, KäP"
1288.76,1000.0,50,40.0,2,0,0,[40],[50],RG 2
2368.84,2000.0,50,33.0,2,1,0,[33.0],[50],"RG 2, KäP"
3569.29,2000.0,50,30.0,2,0,1,[30],[50],"RG 2, IiP"
8650.86,3000.0,50,13.0,2,1,1,[13.0],[50],"RG 2, IiP, KäP"
3569.29,2000.0,50,30.0,3,0,0,[30],[50],RG 3
4649.37,3000.0,50,23.0,3,1,0,[23.0],[50],"RG 3, KäP"
5849.82,3000.0,50,20.0,3,0,1,[20],[50],"RG 3, IiP"
10931.39,4000.0,50,3.0,3,1,1,[3.0],[50],"RG 3, IiP, KäP"
