npv,investition,t_unsupported,t_supported,matLevel,prodFeat,treeMatchAlgo,alreadyImplemented,t_supported_x,t_unsupported_x,name
-495.49,0,84,84.0,1,0,0,1,"[50, 34]","[50, 34]",Ist-Situation
-7572.16,1000,84,425.0,1,1,0,0,"[218.5, 206.5]","[50, 34]","RG 1, SäB"
-1818.81,1000,84,71.0,1,0,1,0,"[40, 31]","[50, 34]","RG 1, SgB"
-8651.7,2000,84,397.0,1,1,1,0,"[198.5, 198.5]","[50, 34]","RG 1, SgB, SäB"
-1705.04,1000,84,64.0,2,0,0,0,"[40, 24]","[50, 34]",RG 2
-8781.72,2000,84,405.0,2,1,0,0,"[208.5, 196.5]","[50, 34]","RG 2, SäB"
-3028.37,2000,84,51.0,2,0,1,0,"[30, 21]","[50, 34]","RG 2, SgB"
-9861.25,3000,84,377.0,2,1,1,0,"[188.5, 188.5]","[50, 34]","RG 2, SgB, SäB"
-2914.6,2000,84,44.0,3,0,0,0,"[30, 14]","[50, 34]",RG 3
-9991.27,3000,84,385.0,3,1,0,0,"[198.5, 186.5]","[50, 34]","RG 3, SäB"
-4237.92,3000,84,31.0,3,0,1,0,"[20, 11]","[50, 34]","RG 3, SgB"
-11070.8,4000,84,357.0,3,1,1,0,"[178.5, 178.5]","[50, 34]","RG 3, SgB, SäB"
